datetime,open,high,low,close,tick_volume,spread,TARGET,t_price,fractals_high,fractals_low,RSI_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,MOM_14,CCI_14_0.015,EMA_4_ema4o,EMA_5_ema5c
2019-08-08 03:00:00,1501.66,1506.68,1500.94,1504.39,5461,160,-1.0,1506.68,True,False,64.05502130336009,13.034722291155267,10.50319218188479,17.37000000000012,59.156670722992345,1500.1645843867827,1501.6801779572593
2019-08-08 04:00:00,1504.39,1505.7,1491.72,1494.7,12267,160,1.0,1491.72,False,True,52.21288523100047,12.056369115816812,12.237968795735583,5.25,-68.8594695418782,1501.8547506320697,1499.3534519715063
2019-08-08 05:00:00,1494.7,1502.95,1494.69,1501.94,7054,160,,,False,False,58.40101079737058,13.109548555687999,12.73354665422015,7.039999999999964,-35.70124613064422,1498.9928503792419,1500.2156346476709
2019-08-08 06:00:00,1501.91,1502.14,1498.73,1499.37,5412,160,,,False,False,55.64637355415534,9.055383107887552,11.407100259797579,2.0299999999999727,-41.18731887239719,1500.1597102275452,1499.9337564317805
2019-08-08 07:00:00,1499.37,1501.29,1499.37,1500.92,2937,160,,,False,False,56.96478594709756,15.561899380263773,12.575610347946565,-7.129999999999882,-25.100622027071392,1499.843826136527,1500.2625042878537
2019-08-08 08:00:00,1500.91,1501.77,1498.85,1501.12,4004,160,,,False,False,57.14181270737379,16.486853512292825,13.70137866681484,-0.16000000000008185,-20.25553243382418,1500.2702956819162,1500.5483361919025
2019-08-08 09:00:00,1501.11,1503.73,1496.09,1496.55,9859,160,-1.0,1503.73,True,False,51.889337977052506,13.255425550246365,15.101392814267777,-10.13000000000011,-62.62486694506108,1500.6061774091497,1499.2155574612684
2019-08-08 10:00:00,1496.54,1499.71,1496.07,1497.38,7199,160,,,False,False,52.73902543339667,8.304357316483904,12.682212126341154,-7.619999999999891,-95.21387936458568,1498.97970644549,1498.603704974179
2019-08-08 11:00:00,1497.32,1499.57,1495.63,1496.64,5375,160,,,False,False,51.859627227315826,1.5554480386137979,7.705076968448144,-6.4099999999998545,-105.82634027566496,1498.3158238672938,1497.9491366494526
2019-08-08 12:00:00,1496.63,1498.57,1495.47,1495.6,5354,160,,,False,False,50.58305660095842,1.5554480386137979,3.8050844645706223,-7.5300000000002,-125.54991539763373,1497.6414943203763,1497.166091099635
2019-08-08 13:00:00,1495.61,1497.45,1495.33,1496.05,4135,160,,,False,False,51.14346160838061,1.3865955951282574,1.4991638907854068,0.75,-119.41842010955355,1496.8288965922256,1496.79406073309
2019-08-08 14:00:00,1496.03,1501.15,1494.93,1498.49,5782,160,-1.0,1501.15,True,False,54.17780031690358,10.280976866045917,4.407673499929447,-2.5699999999999363,-32.86328113735524,1496.5093379553355,1497.35937382206
2019-08-08 15:00:00,1498.49,1499.62,1492.0,1492.2,10292,160,,,False,False,46.21024420700243,10.280976866045917,7.316183109073486,-5.6099999999999,-148.69123583799444,1497.3016027732012,1495.63958254804
2019-08-08 16:00:00,1492.23,1498.33,1489.974,1495.39,14111,160,1.0,1489.974,False,True,50.20946410011111,16.364764848726526,12.308906193606242,-6.259999999999991,-125.38428115480123,1495.2729616639208,1495.55638836536
2019-08-08 17:00:00,1495.38,1497.6,1492.67,1492.89,10192,160,,,False,False,47.24487553174514,10.29938621428009,12.315042643017634,-11.5,-122.39128088916918,1495.3157769983525,1494.6675922435734
2019-08-08 18:00:00,1492.89,1498.68,1492.699,1497.56,8328,160,-1.0,1498.68,False,False,52.8458122652909,28.443085406889224,18.369078823298736,2.8599999999999,-44.851714370689024,1494.3454661990115,1495.6317281623822
2019-08-08 19:00:00,1497.56,1498.25,1494.76,1495.6,5109,160,,,False,False,50.426038625724914,33.827808634595904,24.190093418588532,-6.3400000000001455,-41.7672714060198,1495.6312797194068,1495.6211521082548
